Size,Area Type,City,Furnishing Status,Tenant Preferred,BHK,Bathroom,Rent
850.00,1.00,1.00,3.00,2.00,2.00,2.00,12500.00
350.00,2.00,1.00,3.00,2.00,1.00,1.00,7500.00
900.00,2.00,1.00,3.00,2.00,2.00,2.00,15000.00
550.00,1.00,1.00,2.00,2.00,2.00,1.00,6000.00
500.00,2.00,1.00,3.00,2.00,2.00,2.00,5000.00
1100.00,2.00,1.00,3.00,2.00,3.00,1.00,22000.00
850.00,2.00,1.00,2.00,2.00,2.00,1.00,15000.00
800.00,2.00,1.00,3.00,1.00,2.00,1.00,12500.00
630.00,2.00,1.00,3.00,1.00,2.00,1.00,7000.00
900.00,2.00,1.00,2.00,1.00,2.00,2.00,21000.00
270.00,2.00,1.00,2.00,2.00,1.00,1.00,10000.00
630.00,2.00,1.00,2.00,2.00,2.00,1.00,7200.00
1500.00,2.00,1.00,1.00,1.00,3.00,2.00,12000.00
600.00,1.00,1.00,3.00,2.00,1.00,1.00,5000.00
700.00,2.00,1.00,2.00,2.00,2.00,1.00,8500.00
300.00,1.00,1.00,2.00,2.00,1.00,1.00,6000.00
1300.00,1.00,1.00,2.00,3.00,2.00,2.00,10000.00
400.00,2.00,1.00,2.00,1.00,2.00,1.00,4600.00
650.00,1.00,1.00,3.00,3.00,2.00,2.00,12000.00
2000.00,1.00,1.00,2.00,2.00,3.00,2.00,30000.00
1068.00,1.00,1.00,2.00,2.00,3.00,2.00,15000.00
150.00,1.00,1.00,1.00,2.00,1.00,1.00,7500.00
450.00,2.00,1.00,3.00,1.00,1.00,1.00,7500.00
800.00,2.00,1.00,3.00,2.00,2.00,1.00,5000.00
1000.00,1.00,1.00,3.00,2.00,2.00,2.00,15000.00
900.00,1.00,1.00,2.00,1.00,2.00,1.00,11000.00
600.00,2.00,1.00,3.00,2.00,1.00,1.00,7000.00
1200.00,1.00,1.00,3.00,2.00,2.00,1.00,6000.00
1200.00,1.00,1.00,2.00,1.00,2.00,2.00,6000.00
650.00,1.00,1.00,2.00,2.00,2.00,2.00,7000.00
720.00,2.00,1.00,2.00,2.00,2.00,2.00,8500.00
300.00,2.00,1.00,3.00,1.00,1.00,1.00,5000.00
1200.00,2.00,1.00,3.00,2.00,3.00,3.00,30000.00
700.00,2.00,1.00,3.00,2.00,2.00,2.00,10000.00
2000.00,1.00,1.00,2.00,2.00,3.00,2.00,30000.00
250.00,1.00,1.00,2.00,2.00,1.00,1.00,3500.00
1100.00,2.00,1.00,3.00,1.00,2.00,1.00,8000.00
300.00,2.00,1.00,3.00,2.00,1.00,1.00,5000.00
600.00,1.00,1.00,2.00,2.00,2.00,1.00,7500.00
800.00,2.00,1.00,3.00,2.00,2.00,1.00,6500.00
680.00,1.00,1.00,3.00,2.00,1.00,1.00,7500.00
680.00,1.00,1.00,3.00,2.00,1.00,1.00,7500.00
850.00,2.00,1.00,2.00,1.00,2.00,1.00,16000.00
850.00,2.00,1.00,2.00,1.00,2.00,1.00,16000.00
700.00,1.00,1.00,3.00,1.00,2.00,1.00,6500.00
1500.00,1.00,1.00,3.00,2.00,3.00,2.00,40000.00
950.00,1.00,1.00,2.00,2.00,2.00,2.00,12500.00
500.00,1.00,1.00,3.00,2.00,2.00,1.00,5500.00
450.00,2.00,1.00,2.00,2.00,1.00,1.00,5000.00
700.00,1.00,1.00,3.00,1.00,2.00,1.00,6500.00
500.00,1.00,1.00,3.00,2.00,1.00,1.00,8000.00
1800.00,1.00,1.00,2.00,2.00,3.00,2.00,14500.00
500.00,2.00,1.00,2.00,2.00,1.00,1.00,8200.00
480.00,2.00,1.00,1.00,2.00,2.00,2.00,15000.00
1000.00,1.00,1.00,2.00,2.00,6.00,2.00,20000.00
800.00,1.00,1.00,1.00,2.00,2.00,1.00,6700.00
435.00,1.00,1.00,3.00,2.00,1.00,1.00,10000.00
700.00,2.00,1.00,2.00,2.00,2.00,2.00,7000.00
800.00,1.00,1.00,1.00,2.00,2.00,1.00,22000.00
450.00,1.00,1.00,3.00,2.00,2.00,1.00,6500.00
550.00,2.00,1.00,2.00,2.00,2.00,1.00,8500.00
800.00,2.00,1.00,3.00,1.00,2.00,2.00,18000.00
550.00,2.00,1.00,2.00,3.00,2.00,2.00,12000.00
600.00,1.00,1.00,1.00,2.00,1.00,1.00,9000.00
500.00,1.00,1.00,3.00,2.00,1.00,1.00,6000.00
1000.00,1.00,1.00,1.00,2.00,2.00,2.00,20000.00
300.00,2.00,1.00,3.00,2.00,1.00,1.00,5000.00
1200.00,1.00,1.00,1.00,2.00,2.00,2.00,12000.00
500.00,2.00,1.00,2.00,2.00,2.00,1.00,10000.00
1200.00,1.00,1.00,3.00,3.00,4.00,2.00,18000.00
900.00,2.00,1.00,2.00,2.00,2.00,2.00,15000.00
1300.00,2.00,1.00,3.00,2.00,3.00,3.00,22000.00
1600.00,2.00,1.00,3.00,2.00,4.00,3.00,35000.00
1450.00,1.00,1.00,3.00,3.00,3.00,2.00,21000.00
1100.00,1.00,1.00,1.00,1.00,2.00,2.00,25000.00
950.00,2.00,1.00,3.00,2.00,2.00,2.00,180000.00
600.00,2.00,1.00,3.00,2.00,1.00,1.00,6000.00
700.00,2.00,1.00,3.00,2.00,2.00,2.00,14000.00
750.00,1.00,1.00,3.00,3.00,3.00,1.00,8000.00
1000.00,1.00,1.00,3.00,2.00,2.00,1.00,8000.00
220.00,1.00,1.00,1.00,2.00,1.00,1.00,6000.00
300.00,2.00,1.00,2.00,1.00,1.00,1.00,8000.00
300.00,2.00,1.00,3.00,2.00,1.00,1.00,6000.00
700.00,1.00,1.00,2.00,2.00,1.00,1.00,20000.00
800.00,1.00,1.00,3.00,2.00,3.00,2.00,12000.00
1600.00,1.00,1.00,3.00,2.00,3.00,2.00,15000.00
1000.00,2.00,1.00,3.00,2.00,2.00,2.00,14000.00
20.00,1.00,1.00,3.00,2.00,1.00,1.00,5000.00
400.00,2.00,1.00,3.00,2.00,2.00,1.00,7000.00
200.00,1.00,1.00,1.00,2.00,1.00,1.00,3900.00
840.00,2.00,1.00,3.00,1.00,3.00,2.00,14000.00
300.00,2.00,1.00,3.00,2.00,1.00,1.00,6300.00
550.00,2.00,1.00,1.00,2.00,2.00,2.00,13000.00
300.00,2.00,1.00,3.00,2.00,1.00,1.00,6800.00
800.00,1.00,1.00,3.00,2.00,2.00,2.00,8000.00
740.00,2.00,1.00,3.00,1.00,2.00,1.00,10000.00
1300.00,1.00,1.00,3.00,2.00,2.00,2.00,18000.00
650.00,1.00,1.00,2.00,2.00,2.00,1.00,8000.00
490.00,1.00,1.00,2.00,2.00,2.00,1.00,8000.00
250.00,1.00,1.00,1.00,2.00,1.00,1.00,4700.00
250.00,1.00,1.00,1.00,2.00,1.00,1.00,4700.00
450.00,1.00,1.00,3.00,2.00,1.00,1.00,4500.00
300.00,2.00,1.00,2.00,2.00,1.00,1.00,6000.00
750.00,1.00,1.00,3.00,2.00,2.00,2.00,16000.00
250.00,1.00,1.00,1.00,2.00,1.00,1.00,4700.00
751.00,2.00,1.00,3.00,1.00,2.00,1.00,14000.00
900.00,2.00,1.00,2.00,1.00,2.00,1.00,9000.00
400.00,2.00,1.00,2.00,2.00,2.00,1.00,5000.00
1000.00,2.00,1.00,2.00,2.00,2.00,2.00,17500.00
1000.00,2.00,1.00,3.00,2.00,2.00,1.00,8500.00
1500.00,2.00,1.00,2.00,3.00,3.00,2.00,15000.00
750.00,2.00,1.00,3.00,2.00,2.00,2.00,12500.00
1200.00,1.00,1.00,2.00,2.00,1.00,1.00,13000.00
700.00,1.00,1.00,3.00,2.00,2.00,1.00,8000.00
700.00,2.00,1.00,1.00,2.00,2.00,1.00,8000.00
1000.00,1.00,1.00,2.00,2.00,2.00,1.00,8000.00
1200.00,1.00,1.00,3.00,2.00,2.00,2.00,7000.00
550.00,1.00,1.00,1.00,2.00,2.00,1.00,2200.00
800.00,2.00,1.00,3.00,1.00,2.00,1.00,8000.00
280.00,1.00,1.00,3.00,1.00,2.00,1.00,5500.00
1100.00,1.00,1.00,3.00,2.00,3.00,3.00,20000.00
950.00,1.00,1.00,3.00,2.00,2.00,1.00,7000.00
250.00,1.00,1.00,1.00,2.00,1.00,1.00,3500.00
1000.00,2.00,1.00,3.00,1.00,2.00,1.00,5000.00
1000.00,2.00,1.00,2.00,2.00,3.00,2.00,20000.00
650.00,1.00,1.00,3.00,2.00,2.00,1.00,7000.00
700.00,1.00,1.00,3.00,2.00,2.00,2.00,10000.00
700.00,2.00,1.00,3.00,1.00,2.00,1.00,7000.00
1000.00,1.00,1.00,2.00,2.00,3.00,2.00,12000.00
900.00,2.00,1.00,3.00,1.00,2.00,2.00,14500.00
700.00,1.00,1.00,3.00,2.00,1.00,1.00,6000.00
700.00,1.00,1.00,3.00,2.00,2.00,2.00,9500.00
450.00,2.00,1.00,2.00,2.00,2.00,2.00,10000.00
120.00,1.00,1.00,3.00,2.00,1.00,1.00,3500.00
800.00,1.00,1.00,2.00,2.00,2.00,2.00,9000.00
1220.00,2.00,1.00,3.00,2.00,3.00,2.00,40000.00
1100.00,1.00,1.00,3.00,2.00,3.00,1.00,16500.00
700.00,2.00,1.00,3.00,3.00,3.00,2.00,8000.00
800.00,1.00,1.00,1.00,2.00,2.00,1.00,12000.00
670.00,1.00,1.00,3.00,3.00,2.00,1.00,6500.00
1300.00,1.00,1.00,3.00,2.00,4.00,3.00,40000.00
190.00,1.00,1.00,2.00,2.00,1.00,1.00,5000.00
700.00,1.00,1.00,2.00,2.00,2.00,1.00,9000.00
240.00,2.00,1.00,3.00,1.00,1.00,1.00,7000.00
850.00,2.00,1.00,2.00,3.00,2.00,1.00,18000.00
950.00,1.00,1.00,3.00,2.00,1.00,2.00,9000.00
450.00,2.00,1.00,1.00,2.00,1.00,1.00,5500.00
800.00,2.00,1.00,3.00,1.00,2.00,1.00,7500.00
600.00,2.00,1.00,3.00,2.00,2.00,1.00,4000.00
800.00,2.00,1.00,3.00,1.00,3.00,2.00,10500.00
1100.00,2.00,1.00,3.00,2.00,3.00,2.00,15000.00
800.00,2.00,1.00,1.00,2.00,2.00,1.00,15000.00
2200.00,1.00,1.00,1.00,2.00,1.00,3.00,50000.00
950.00,2.00,1.00,3.00,1.00,2.00,2.00,12000.00
550.00,2.00,1.00,3.00,2.00,2.00,1.00,11000.00
1800.00,2.00,1.00,3.00,1.00,2.00,2.00,12000.00
1000.00,1.00,1.00,1.00,2.00,2.00,1.00,8000.00
600.00,1.00,1.00,2.00,2.00,2.00,2.00,18000.00
750.00,2.00,1.00,2.00,2.00,2.00,2.00,8000.00
685.00,1.00,1.00,3.00,2.00,2.00,1.00,7000.00
44.00,2.00,1.00,1.00,2.00,1.00,1.00,6500.00
1200.00,2.00,1.00,3.00,2.00,4.00,1.00,13000.00
500.00,2.00,1.00,3.00,1.00,2.00,1.00,9000.00
1110.00,2.00,1.00,3.00,2.00,4.00,2.00,10000.00
1000.00,1.00,1.00,3.00,2.00,2.00,2.00,12000.00
392.00,1.00,1.00,3.00,2.00,2.00,1.00,5000.00
700.00,1.00,1.00,3.00,2.00,2.00,1.00,6000.00
750.00,1.00,1.00,3.00,2.00,1.00,1.00,5200.00
1500.00,1.00,1.00,3.00,3.00,3.00,2.00,15000.00
900.00,1.00,1.00,3.00,2.00,2.00,2.00,9000.00
710.00,1.00,1.00,1.00,1.00,1.00,1.00,24000.00
400.00,2.00,1.00,3.00,2.00,1.00,1.00,5500.00
700.00,2.00,1.00,3.00,1.00,1.00,1.00,10000.00
1000.00,2.00,1.00,2.00,2.00,2.00,1.00,15000.00
250.00,1.00,1.00,1.00,2.00,1.00,1.00,4700.00
500.00,2.00,1.00,2.00,2.00,1.00,1.00,5000.00
450.00,2.00,1.00,2.00,2.00,2.00,1.00,5000.00
1400.00,1.00,1.00,3.00,2.00,3.00,1.00,15000.00
500.00,2.00,1.00,2.00,2.00,1.00,1.00,5000.00
700.00,2.00,1.00,3.00,2.00,2.00,1.00,6000.00
1200.00,2.00,1.00,2.00,2.00,3.00,1.00,18000.00
450.00,2.00,1.00,3.00,1.00,2.00,1.00,8000.00
500.00,2.00,1.00,1.00,1.00,1.00,1.00,13000.00
400.00,2.00,1.00,3.00,2.00,2.00,1.00,7500.00
1000.00,1.00,1.00,3.00,2.00,3.00,2.00,12000.00
750.00,2.00,1.00,3.00,1.00,2.00,1.00,11000.00
450.00,1.00,1.00,3.00,3.00,1.00,1.00,6000.00
1000.00,2.00,1.00,3.00,1.00,3.00,2.00,20000.00
500.00,2.00,1.00,3.00,1.00,2.00,2.00,7000.00
1600.00,2.00,1.00,3.00,1.00,4.00,2.00,30000.00
550.00,2.00,1.00,3.00,1.00,2.00,1.00,7500.00
550.00,1.00,1.00,3.00,2.00,1.00,2.00,6500.00
200.00,1.00,1.00,3.00,2.00,1.00,1.00,3000.00
650.00,2.00,1.00,3.00,1.00,2.00,1.00,5200.00
1000.00,1.00,1.00,1.00,2.00,2.00,2.00,25000.00
680.00,2.00,1.00,3.00,2.00,2.00,2.00,12500.00
720.00,2.00,1.00,3.00,2.00,2.00,2.00,8500.00
500.00,2.00,1.00,3.00,1.00,2.00,1.00,3500.00
800.00,1.00,1.00,3.00,2.00,2.00,1.00,7000.00
160.00,1.00,1.00,3.00,2.00,1.00,1.00,3000.00
1200.00,2.00,1.00,3.00,2.00,2.00,2.00,14000.00
700.00,1.00,1.00,1.00,2.00,1.00,1.00,18000.00
1000.00,1.00,1.00,2.00,2.00,1.00,1.00,3500.00
1250.00,1.00,1.00,3.00,2.00,2.00,2.00,16000.00
1600.00,1.00,1.00,3.00,2.00,4.00,3.00,35000.00
700.00,1.00,1.00,2.00,2.00,2.00,1.00,21000.00
450.00,1.00,1.00,3.00,2.00,1.00,1.00,4500.00
839.00,1.00,1.00,2.00,2.00,2.00,2.00,15000.00
230.00,1.00,1.00,3.00,2.00,1.00,1.00,4500.00
1800.00,1.00,1.00,3.00,2.00,1.00,1.00,5500.00
800.00,1.00,1.00,3.00,2.00,2.00,2.00,8500.00
500.00,2.00,1.00,2.00,2.00,1.00,1.00,5000.00
620.00,2.00,1.00,3.00,1.00,2.00,1.00,8500.00
650.00,2.00,1.00,3.00,2.00,2.00,1.00,9000.00
550.00,1.00,1.00,2.00,2.00,1.00,1.00,7500.00
450.00,2.00,1.00,1.00,1.00,2.00,2.00,7000.00
1350.00,2.00,1.00,3.00,3.00,3.00,2.00,15000.00
600.00,1.00,1.00,2.00,2.00,2.00,2.00,7000.00
1200.00,1.00,1.00,1.00,2.00,3.00,1.00,10000.00
700.00,1.00,1.00,3.00,2.00,2.00,1.00,7000.00
800.00,2.00,1.00,1.00,2.00,3.00,2.00,3200.00
600.00,2.00,1.00,2.00,2.00,2.00,1.00,6000.00
900.00,1.00,1.00,3.00,2.00,2.00,2.00,12000.00
750.00,1.00,1.00,3.00,2.00,2.00,1.00,6000.00
1250.00,1.00,1.00,3.00,2.00,3.00,2.00,10000.00
1000.00,1.00,1.00,2.00,2.00,3.00,3.00,12000.00
600.00,1.00,1.00,2.00,2.00,2.00,1.00,8000.00
650.00,2.00,1.00,3.00,2.00,2.00,1.00,5300.00
450.00,2.00,1.00,3.00,1.00,2.00,1.00,5000.00
800.00,1.00,1.00,3.00,2.00,3.00,2.00,8500.00
1000.00,2.00,1.00,2.00,2.00,3.00,2.00,22000.00
1000.00,1.00,1.00,3.00,2.00,2.00,1.00,7000.00
1400.00,2.00,1.00,1.00,1.00,3.00,3.00,25000.00
600.00,2.00,1.00,2.00,1.00,2.00,1.00,7000.00
723.00,2.00,1.00,1.00,3.00,2.00,1.00,15000.00
320.00,2.00,1.00,3.00,2.00,1.00,1.00,6000.00
900.00,1.00,1.00,2.00,2.00,2.00,1.00,8000.00
1400.00,2.00,1.00,1.00,2.00,3.00,2.00,40000.00
2160.00,1.00,1.00,2.00,1.00,1.00,1.00,6000.00
650.00,2.00,1.00,2.00,2.00,2.00,1.00,15000.00
800.00,1.00,1.00,2.00,2.00,2.00,1.00,6500.00
800.00,1.00,1.00,2.00,2.00,3.00,1.00,8000.00
500.00,2.00,1.00,3.00,2.00,1.00,1.00,5500.00
1700.00,1.00,1.00,2.00,2.00,3.00,2.00,9000.00
130.00,2.00,1.00,2.00,2.00,1.00,1.00,6000.00
505.00,1.00,1.00,1.00,2.00,1.00,1.00,15000.00
4000.00,1.00,1.00,1.00,2.00,4.00,3.00,30000.00
1250.00,1.00,1.00,3.00,2.00,3.00,2.00,30000.00
700.00,2.00,1.00,3.00,2.00,1.00,1.00,5000.00
900.00,1.00,1.00,3.00,1.00,2.00,1.00,15000.00
650.00,1.00,1.00,2.00,2.00,1.00,1.00,6500.00
750.00,1.00,1.00,1.00,2.00,2.00,1.00,4500.00
450.00,2.00,1.00,3.00,2.00,2.00,1.00,7000.00
350.00,2.00,1.00,2.00,2.00,1.00,1.00,6500.00
480.00,2.00,1.00,1.00,1.00,1.00,2.00,17500.00
900.00,1.00,1.00,3.00,2.00,2.00,1.00,10000.00
200.00,1.00,1.00,2.00,2.00,1.00,1.00,1500.00
1100.00,1.00,1.00,3.00,2.00,3.00,3.00,25000.00
800.00,2.00,1.00,3.00,2.00,2.00,1.00,12000.00
1000.00,2.00,1.00,1.00,2.00,3.00,2.00,7500.00
800.00,2.00,1.00,3.00,2.00,1.00,1.00,7000.00
200.00,1.00,1.00,2.00,2.00,1.00,1.00,3500.00
1190.00,2.00,1.00,3.00,2.00,3.00,2.00,10000.00
900.00,2.00,1.00,3.00,1.00,2.00,2.00,14000.00
1500.00,1.00,1.00,3.00,2.00,2.00,2.00,15000.00
600.00,1.00,1.00,3.00,2.00,2.00,1.00,6500.00
800.00,1.00,1.00,3.00,2.00,3.00,1.00,10000.00
800.00,2.00,1.00,3.00,3.00,2.00,2.00,10500.00
900.00,2.00,1.00,2.00,2.00,3.00,2.00,10000.00
350.00,2.00,1.00,2.00,2.00,1.00,1.00,5000.00
800.00,2.00,1.00,3.00,2.00,2.00,1.00,9000.00
1600.00,2.00,1.00,3.00,1.00,2.00,2.00,20000.00
1012.00,2.00,1.00,2.00,2.00,3.00,2.00,35000.00
1200.00,2.00,1.00,3.00,1.00,3.00,2.00,15000.00
700.00,1.00,1.00,1.00,2.00,2.00,1.00,20000.00
1000.00,1.00,1.00,2.00,2.00,2.00,1.00,12000.00
800.00,2.00,1.00,3.00,1.00,2.00,1.00,8000.00
500.00,1.00,1.00,2.00,2.00,1.00,1.00,3000.00
1200.00,2.00,1.00,2.00,1.00,3.00,2.00,20000.00
450.00,2.00,1.00,3.00,1.00,1.00,1.00,9000.00
950.00,2.00,1.00,3.00,2.00,3.00,2.00,13000.00
350.00,2.00,1.00,3.00,2.00,1.00,1.00,7000.00
450.00,2.00,1.00,3.00,2.00,1.00,1.00,9000.00
550.00,2.00,1.00,2.00,1.00,1.00,1.00,9000.00
300.00,2.00,1.00,3.00,1.00,2.00,1.00,10000.00
1250.00,1.00,1.00,2.00,2.00,3.00,2.00,15000.00
700.00,1.00,1.00,3.00,2.00,2.00,1.00,7000.00
812.00,1.00,1.00,3.00,2.00,3.00,2.00,8000.00
550.00,1.00,1.00,3.00,2.00,2.00,1.00,8000.00
500.00,1.00,1.00,2.00,2.00,1.00,1.00,5000.00
320.00,2.00,1.00,1.00,1.00,1.00,1.00,14000.00
600.00,1.00,1.00,3.00,2.00,2.00,1.00,5000.00
420.00,2.00,1.00,3.00,1.00,2.00,1.00,5000.00
1100.00,1.00,1.00,3.00,1.00,3.00,1.00,12000.00
220.00,1.00,1.00,3.00,2.00,1.00,1.00,3200.00
700.00,2.00,1.00,2.00,2.00,2.00,2.00,8500.00
1200.00,2.00,1.00,3.00,2.00,3.00,2.00,16000.00
800.00,2.00,1.00,3.00,2.00,2.00,2.00,14000.00
300.00,2.00,1.00,1.00,1.00,1.00,1.00,8000.00
650.00,2.00,1.00,3.00,2.00,2.00,1.00,7000.00
600.00,1.00,1.00,1.00,2.00,1.00,1.00,8000.00
350.00,1.00,1.00,3.00,2.00,1.00,1.00,3000.00
500.00,2.00,1.00,3.00,1.00,1.00,1.00,3800.00
400.00,1.00,1.00,3.00,2.00,1.00,1.00,6500.00
1750.00,1.00,1.00,2.00,2.00,3.00,3.00,20000.00
1600.00,1.00,1.00,3.00,2.00,3.00,2.00,30000.00
300.00,2.00,1.00,2.00,2.00,1.00,1.00,8000.00
1100.00,1.00,1.00,2.00,2.00,2.00,2.00,14000.00
830.00,1.00,1.00,3.00,2.00,2.00,1.00,7200.00
600.00,2.00,1.00,2.00,2.00,2.00,2.00,7000.00
500.00,1.00,1.00,3.00,1.00,1.00,2.00,7000.00
900.00,2.00,1.00,3.00,2.00,2.00,1.00,7500.00
1250.00,2.00,1.00,3.00,3.00,2.00,2.00,8500.00
700.00,2.00,1.00,3.00,1.00,2.00,1.00,12000.00
850.00,2.00,1.00,3.00,1.00,1.00,2.00,8500.00
550.00,2.00,1.00,3.00,2.00,2.00,1.00,9500.00
550.00,2.00,1.00,1.00,2.00,2.00,2.00,7500.00
1200.00,1.00,1.00,3.00,2.00,2.00,1.00,12000.00
1100.00,2.00,1.00,3.00,1.00,3.00,2.00,20000.00
650.00,1.00,1.00,2.00,2.00,2.00,1.00,8500.00
1050.00,2.00,1.00,3.00,1.00,3.00,2.00,20000.00
960.00,1.00,1.00,2.00,2.00,2.00,2.00,6000.00
650.00,2.00,1.00,3.00,2.00,2.00,2.00,5500.00
550.00,1.00,1.00,2.00,2.00,1.00,1.00,7000.00
500.00,1.00,1.00,2.00,2.00,2.00,2.00,7000.00
450.00,1.00,1.00,3.00,3.00,1.00,1.00,6500.00
850.00,1.00,1.00,3.00,1.00,2.00,2.00,10000.00
300.00,2.00,1.00,3.00,2.00,1.00,1.00,5200.00
1000.00,2.00,1.00,2.00,2.00,2.00,3.00,13000.00
500.00,2.00,1.00,3.00,2.00,2.00,1.00,7000.00
756.00,2.00,1.00,2.00,2.00,2.00,1.00,12000.00
1000.00,1.00,1.00,3.00,2.00,1.00,1.00,15000.00
150.00,2.00,1.00,3.00,2.00,1.00,1.00,5000.00
800.00,2.00,1.00,3.00,1.00,1.00,1.00,8000.00
700.00,1.00,1.00,3.00,1.00,2.00,2.00,8000.00
420.00,1.00,1.00,3.00,1.00,1.00,1.00,5000.00
800.00,1.00,1.00,3.00,1.00,2.00,1.00,10000.00
288.00,2.00,1.00,3.00,1.00,2.00,1.00,12000.00
900.00,1.00,1.00,3.00,2.00,2.00,2.00,8000.00
850.00,2.00,1.00,3.00,1.00,2.00,2.00,21000.00
350.00,2.00,1.00,3.00,1.00,1.00,1.00,5000.00
600.00,1.00,1.00,3.00,2.00,2.00,1.00,9000.00
1600.00,2.00,1.00,2.00,1.00,2.00,1.00,8000.00
986.00,2.00,1.00,3.00,1.00,2.00,1.00,7000.00
1330.00,2.00,1.00,3.00,1.00,3.00,2.00,35000.00
1300.00,1.00,1.00,2.00,2.00,3.00,2.00,15000.00
800.00,2.00,1.00,3.00,1.00,2.00,1.00,6200.00
800.00,2.00,1.00,3.00,2.00,2.00,1.00,9900.00
850.00,1.00,1.00,3.00,1.00,2.00,1.00,7000.00
322.00,2.00,1.00,3.00,2.00,1.00,1.00,5000.00
800.00,2.00,1.00,1.00,2.00,2.00,1.00,6500.00
1500.00,2.00,1.00,3.00,1.00,4.00,2.00,40000.00
3500.00,1.00,1.00,2.00,2.00,3.00,2.00,40000.00
957.00,2.00,1.00,1.00,1.00,2.00,2.00,12000.00
850.00,2.00,1.00,3.00,1.00,1.00,1.00,6500.00
900.00,2.00,1.00,3.00,1.00,2.00,2.00,10000.00
600.00,1.00,1.00,2.00,2.00,2.00,1.00,15000.00
350.00,2.00,1.00,2.00,2.00,1.00,1.00,5000.00
800.00,1.00,1.00,3.00,2.00,2.00,1.00,7000.00
320.00,2.00,1.00,3.00,2.00,2.00,1.00,6000.00
800.00,2.00,1.00,3.00,2.00,3.00,1.00,15000.00
700.00,2.00,1.00,2.00,1.00,2.00,2.00,10000.00
1200.00,1.00,1.00,2.00,2.00,2.00,2.00,22000.00
750.00,2.00,1.00,2.00,2.00,2.00,1.00,8500.00
1200.00,1.00,1.00,2.00,2.00,3.00,3.00,35000.00
450.00,2.00,1.00,3.00,2.00,2.00,1.00,7000.00
1430.00,1.00,1.00,2.00,2.00,3.00,1.00,8500.00
450.00,1.00,1.00,3.00,2.00,2.00,1.00,6000.00
800.00,1.00,1.00,2.00,2.00,4.00,3.00,35000.00
400.00,1.00,1.00,3.00,2.00,1.00,1.00,6000.00
650.00,1.00,1.00,3.00,2.00,2.00,1.00,8000.00
450.00,2.00,1.00,3.00,2.00,1.00,1.00,5000.00
600.00,1.00,1.00,3.00,2.00,2.00,1.00,6000.00
1200.00,2.00,1.00,3.00,3.00,3.00,2.00,15000.00
700.00,2.00,1.00,3.00,1.00,2.00,1.00,9000.00
300.00,2.00,1.00,3.00,1.00,1.00,1.00,5000.00
1200.00,1.00,1.00,3.00,2.00,3.00,3.00,8000.00
1300.00,2.00,1.00,3.00,1.00,3.00,2.00,35000.00
400.00,1.00,1.00,3.00,2.00,1.00,1.00,5500.00
1320.00,2.00,1.00,3.00,1.00,3.00,2.00,35000.00
1000.00,1.00,1.00,1.00,2.00,2.00,2.00,11000.00
700.00,2.00,1.00,3.00,1.00,2.00,1.00,10000.00
800.00,2.00,1.00,3.00,2.00,2.00,2.00,6500.00
900.00,1.00,1.00,1.00,2.00,2.00,1.00,6000.00
1700.00,1.00,1.00,3.00,2.00,3.00,2.00,36125.00
600.00,2.00,1.00,3.00,1.00,2.00,1.00,6800.00
850.00,2.00,1.00,3.00,3.00,2.00,2.00,8500.00
550.00,2.00,1.00,3.00,1.00,2.00,1.00,5000.00
650.00,2.00,1.00,1.00,2.00,1.00,1.00,6500.00
